"","X.1","X","crime","number","date","location","beat","neighborhood","npu","lat","long","temp","precipitation","cluster","occurence"
"1",157869,157868,"AUTO THEFT",111221192,"05/02/2011","1050 TECHWOOD DR NW",501,"Home Park","E",33.78344,-84.39246,21.7458333333333,0,8,1609
"2",224135,224134,"LARCENY-FROM VEHICLE",102381689,"08/26/2010","761 WOODWARD WAY NW",205,"Peachtree Battle Alliance","C",33.82206,-84.39612,25.9708333333333,0.3,7,688
"3",84124,84123,"LARCENY-FROM VEHICLE",163440701,"12/09/2016","410 CANDLER PARK DE NE",609,"Candler Park","N",33.76543,-84.34009,1.72916666666667,0,9,587
"4",95098,95097,"LARCENY-FROM VEHICLE",110430549,"02/12/2011","89 LITTLE ST SE",304,"Summerhill","V",33.73293,-84.38502,2.69166666666667,0,1,1118
"5",185434,185433,"LARCENY-NON VEHICLE",131701000,"06/19/2013","397 PICKFAIR AVE SW",307,"Lakewood Heights","Y",33.704,-84.40217,22.85,0.5,2,1151
"6",255842,255841,"LARCENY-FROM VEHICLE",122541076,"09/10/2012","546 CANDLER PARK DR NE",608,"Candler Park","N",33.76916,-84.33963,21.175,0,9,587
"7",208342,208341,"BURGLARY-RESIDENCE",121870090,"07/05/2012","373 LEGACY DR SW",104,"Harris Chiles","T",33.74385,-84.41931,29.2208333333333,3.4,3,1868
"8",64472,64471,"AGG ASSAULT",93150088,"11/11/2009","2089 CASCADE RD SW",409,"Cascade Avenue/Road","S",33.72174,-84.4559,13.7333333333333,37.5,3,1868
"9",112946,112945,"LARCENY-FROM VEHICLE",100562441,"03/03/2010","1155 LAVISTA RD NE",212,"Lindridge/Martin Manor","F",33.81743,-84.351,2.47916666666667,0.2,4,966
"10",80636,80635,"AUTO THEFT",153551146,"12/21/2015","2950 SPRINGDALE RD SW",311,"Hammond Park","X",33.67479,-84.41619,9.1125,0,2,1151
"11",30852,30851,"LARCENY-FROM VEHICLE",103120658,"11/08/2010","508 POMONA CIR SW;",309,"Perkerson","X",33.68702,-84.40686,9.7125,0,2,1151
"12",215078,215077,"BURGLARY-RESIDENCE",152081641,"07/27/2015","2640 MARTIN L KING JR DR SW",405,"Harland Terrace","I",33.75381,-84.47425,28.3833333333333,0,6,1164
"13",71891,71890,"LARCENY-NON VEHICLE",123620987,"12/27/2012","2841 GREENBRIAR PKWY SW",411,"Greenbriar","R",33.68677,-84.49773,2.85833333333333,0,5,849
"14",111594,111593,"LARCENY-FROM VEHICLE",100780550,"03/19/2010","677 INDIGO LN NW",112,"Collier Heights","I",33.77304,-84.48147,12.4166666666667,0,6,1164
"15",238077,238076,"AUTO THEFT",142221652,"08/10/2014","2025 BAKER RD NW",107,"Grove Park","J",33.77011,-84.45335,24.4416666666667,16.7,6,1164
"16",116188,116187,"LARCENY-NON VEHICLE",120860898,"03/26/2012","3298 CUSHMAN CIR SW",406,"","I",33.75057,-84.49417,17.9083333333333,0,6,1164
"17",237413,237412,"ROBBERY-PEDESTRIAN",142292548,"08/17/2014","933 CASCADE AVE SW",404,"Cascade Avenue/Road","S",33.72981,-84.44123,26.2041666666667,0.8,3,1868
"18",205880,205879,"AGG ASSAULT",122110557,"07/29/2012","3 JOSEPH E LOWERY BLVD NW",102,"Vine City","L",33.75488,-84.41744,28.5208333333333,0,3,1868
"19",233603,233602,"AGG ASSAULT",132401214,"08/28/2013","1072 CASCADE AVE SW",403,"Cascade Avenue/Road","S",33.72605,-84.44581,24.5,0,3,1868
"20",72966,72965,"LARCENY-FROM VEHICLE",123501546,"12/15/2012","2841 GREENBRIAR PKWY SW @GREENBRIAR MALL",411,"Greenbriar","R",33.68845,-84.49328,8.83333333333333,0,5,849
"21",52716,52715,"LARCENY-NON VEHICLE",130011382,"01/01/2013","1993 BENT CREEK WAY SW",410,"Campbellton Road","R",33.70084,-84.46568,9.07916666666667,16.7,5,849
"22",190981,190980,"BURGLARY-NONRES",151720845,"06/21/2015","2753 WATERS RD SW",312,"Glenrose Heights","Z",33.67987,-84.39012,27.675,0.7,2,1151
"23",258815,258814,"LARCENY-FROM VEHICLE",132510249,"09/08/2013","337 MORELAND AVE NE",608,"Candler Park","N",33.7636,-84.34901,24.4625,0,1,1118
"24",79193,79192,"LARCENY-NON VEHICLE",143421440,"12/08/2014","181 PEACHTREE ST NE @RITZ;",510,"Downtown","M",33.75861,-84.3872,6.1875,0,8,1609
